phone_name,url,user_name,comment_text,star_ratings,bought_at,recommendation
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Dương Dũng,Good💳,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Đức,"Vừa mua hôm 28/01/2023, máy chạy rất ổn định, nhân tiện anh em nào muốn giao lưu đổi màu thì liên hệ 0792.54 56.58 nhé, :V <3",5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Nguyễn Tiến Anh,Dây sạc theo máy bị hỏng ko sạc được có đổi dc không,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,NHÂN,"Mua cho vợ xài chứ khôg biết tốt dỡ sao, mà mắc thì chắv tốt rồi",5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,OANH,Rất tốt,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Tuyết Ngân,"Sản phẩm rất tốt, rất an tâm khi mua sp ở dmx",5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Bùi Thu Hiền,Em muốn đổi từ ip 14 pro max xuống ip 14. Bên mình có hỗ trợ không ạ ?,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,TRẦN XUÂN NGHĨA,Rất tốt! Các bạn vui lòng liên hệ zalo sdt xxxx722815 để gửi hoá đơn dạng file điện tử giúp mình vì mình sau khi mua đã về lại Singapore cần hoá đơn điện tử để bảo hành ở nước ngoài! Vui lòng add zalo mình không gọi vì mình đang bên Sing,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Anh Đạt,Ok,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Xuân Thành,1 sản phẩm đẹp giá tốt . Sẻ giới thiệu cho bạn bè .,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=1,Anh Hùng,Rất tốt,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,NGUYỄN VĂN THẾ,hàng ngon nhân viên nhiệt tình,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Lê Văn Trung,sản phẩm chất lượng,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Ty,Hàng OK lắm,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Anh Đức,Rất tốt,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,DUC,"Đẹp nhưng 13 prm có vẻ ok hơn, cảm giác thao tác trên màn ko mượt cho lắm",5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Nguyễn Mạnh Hà,"Chất lượng dịch vụ của Thế Giới Di Động lúc nào cũng tốt nhất, uy tín nhất",5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Ngũ Toàn Thành,Xài rất tốt,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Nông Văn Tuấn,nv thế giới dất nhiệt tình vv sản phẩm hiện dùng dất ok chỉ tội là đt để qua đêm bị tụt 3% pin không hiểu lý do gì máy đã tắt mạng vấn bị tụt,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Lê Hoàng Anh,"Tgdd gần bến xe rạch sỏi phục vụ rất tốt. Điện thoại sang trọng, chất lượng",5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,HƯƠNG,Rất tốt,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Chị Thỏ,Hihi,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Anh Phương,ok,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Nguyễn Văn Thuyết,Chị bán hàng tên thơm ở chi nhánh thành phố chí linh hải dương tư vấn rất nhiệt tình,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Nguyễn Thành Nam,Tất cả đều ok,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Huy,"Máy quá mượt. Chụp ảnh đẹp, pin trâu. Nv tư vấn nhiệt tình",5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Tiến,Rất hài lòng,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Bích Ngọc,Rất tốt,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,A Hiển,"Sản phẩm đẹp, nhân viên tư vấn nhiệt tình, giao hàng nhanh.",5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Huy,Rất hài lòng,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Nguyễn Văn Hậu,Cũng tốt dùng ổn,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Trịnh Tuấn Dương,"Mình có thói quen giữ cổ phiếu hãng nào thì chỉ mua đồ hãng ấy. Mới đổi sang giữ MWG trong 2022 nên ms mua Ip 14 promax ở TGDĐ, thấy máy dùng cũng tốt mà nhân viên thì xinh vs nhiệt tình nói chuyện cũng dễ nghe. Mình quyết định mua vào thêm mấy ngàn cổ MWG hold to die luôn",5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Trần Duy Đan,Điện thoại dùng rất tốt.,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Nam,quá đẹp luôn ạ,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Hải,Rất tuyệt vời,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,- Trần Thanh Nga,Quá xịn. Nhân viên nhiệt tình. Giá tốt,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Nguyễn Trung Hậu,"Máy đẹp, đặt màu trắng nên nhận hàng từ 20/10 rồi :))",5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Lê Anh Tú,"Ngoài cái nặng và cầm cấn tay ra không có gì phải chê nhất là pin, dù dùng 2 sim nhưng 1 ngày ko hết nổi kể cả 4g",5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,Làu Chăn Hầu,rất tốt,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,CÔNG,Tôi rất hài lòng,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=2,NGOC,Tuyệt vời,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,TÂM,Sp tuyệt vời,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,TÚ,"máy đẹp, màu tím rất ưng. giá mua được km nhiều . rất hài lòng",5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,Hồ Văn Dũng,Ok,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,THO,Bền đẹp đầm chắc mượt xôi thịt ngon,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,Linh,san phẩm tốt.cấu hỉnh đỉnh chóp,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,TOAN,Rất tốt,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,PHUC,Máy tốt,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,THANH,Máy sử dụng ok,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,TH O,"Cám ơn TGDĐ đã cho tôi được hưởng suất mua ưu đãi, nhờ vậy tôi mới có thể trải nghiệm iphone14 tuyệt vời như vậy.",5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,MINH,Tuyệt vời,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,DUY,Oke,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,LINH,Ok,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,ROY,mới toanh,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,ANH,Tốt,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,CUONG,"Tốt lắm,nhiệt tình",5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,LAN,"Tôi rất thích cách phục vụ của bạn,thân thiện vui vẻ nhiệt tình",5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,SUA,Quá tuyệt vời.nv phục vụ rất tốt chu đáo.aex ủng hộ tiếp,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,NAM,"Sản phẩm tốt,giao hàng nhanh",5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,MANH,Ok,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,HUY,Rất tốt,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,MI,Hài lòng ❤️,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,MINH,Tốt,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,AN,ngon,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,PHONG,Rất tốt,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,ANH,Sản phẩm đẹp- mượt,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,GIANG,iPhone 14 pro max rất tốt,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,MAITHICO,Máy tốt,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,GIANG,Máy đẹp,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,AN,Hàng tốt,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=3,DUC,dùng được,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,Nguyên Béo,Sp oki. Dùng mượt. Cám ơn TGDD hỗ trợ cho nhận sớm.,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,KHA,Rất tốt,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,HOME,Good,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,LINH,Chinh tư vấn rất tốt,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,MAI,"Máy chất lượng, giá tốt, bảo hành ok",5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,HUYÊN,Rất tuyệt,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,MAI,Tốt nv nhiệt tình,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,MINH,sản phẩm tốt .,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,LUAN,So dùng rất oke.máy ngon,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,ĐÀO,Ok,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,MINH,Tốt,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,NA,Sản phẩm tốt nhân viên nhiệt tình,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,Nguyễn Phúc Thịnh,Máy nghe gọi tốt !,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,Phạm Hữu Tuyền,Máy đẹp,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,HUY,Máy sử dụng rất tốt,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,Đặng Trung Nghĩa,"Màu chỉ đẹp khi đủ sáng, mình thấy màu vàng vẫn đẹp so màu tím Hiệu năng thì tốt. Đi kèm 3 viên trân châu bao nữa thì tuyệt với.",5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,Châu Vân,"Cảm ơn Nhân viên TGDD hổ trợ rất nhiệt tình. Mình đã mua được iPhone 14 Promax với sự hổ trợ nhiệt tình của bên cửa hàng 98 Hùng Vương, Tân An, Long An❤️",5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,Ngô Đức Hải Bình,Tôi đã mua ở tgdd hơn 10 năm. Nói về CSKH của tgdd thì khỏi phải bàn. Rất tuyệt,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,NAM,Tốt,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,LUẬT,Sản phẩm tốt đáng để mua,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,CHINH,Very Good,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,PHÚC,Ok duyệt,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,HAI,rất hài lòng,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,KHẢI,Camera rất xịnn,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,NHẤT,OK,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,BÌNH,Oke,5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,DƯƠNG,"Ảnh chụp siêu đẹp, trải nghiệm tốt xứng đáng 10đ",5,Đã mua tại DMX,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,VŨ,Ok,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,TUẤN,Tốt,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=4,DUNG,Rất tốt,5,Đã mua tại TGDD,
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=5,BỬU,Rất ok,5,Đã mua tại TGDD,"Sẽ giới thiệu cho bạn bè, người thân"
iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max/danh-gia?p=5,TUYẾT,Rất tốt,5,Đã mua tại DMX,"Sẽ giới thiệu cho bạn bè, người thân"
